,hour,longitude,latitude,value
377,0,116.3127,40.057,35
378,0,116.3757,39.9818,35
379,0,116.6149,39.9162,35
380,0,116.2216,39.8535,35
381,0,121.1677,30.0671,35
382,0,116.2949,39.8781,35
383,0,116.3317,39.8578,34
384,0,116.2804,39.9449,34
385,0,116.3439,40.0623,34
386,0,116.3121,39.9532,34
387,0,116.4511,39.9129,34
388,0,116.4443,39.9896,34
389,0,116.3025,39.9959,34
390,0,113.0393,28.1423,34
391,0,116.351,39.8854,34
392,0,116.348,39.8828,34
393,0,116.433,39.96,34
394,0,116.2414,39.9053,34
395,0,116.3106,40.0522,34
396,0,115.6952,37.7575,34
397,0,116.4125,40.0559,34
398,0,116.3584,39.861,34
399,0,116.4346,39.9925,34
400,0,116.5009,39.9277,34
401,0,116.4325,40.0385,34
402,0,116.1869,39.9359,34
403,0,116.6586,39.8961,34
404,0,116.2341,39.8503,34
405,0,116.3131,39.8628,34
406,0,116.4306,40.0262,34
407,0,116.3808,39.8896,33
408,0,116.4517,39.9142,33
409,0,130.2645,47.2818,33
410,0,116.4605,39.9115,33
411,0,113.9671,22.5827,33
412,0,116.3557,39.8581,33
413,0,116.3373,40.0326,33
414,0,116.4179,40.0684,33
415,0,116.426,40.0152,33
416,0,119.4764,32.2201,33
417,0,116.2218,39.8468,33
418,0,114.4686,38.0747,32
419,0,116.3602,39.9508,32
420,0,116.2954,39.9651,32
421,0,116.4131,40.0442,32
422,0,116.35,39.8334,32
423,0,116.3177,40.0847,32
424,0,116.4603,39.9892,32
425,0,116.5772,40.0527,32
426,0,116.3419,40.0327,32
427,0,115.6957,37.7425,32
428,0,116.178,39.9271,32
429,0,116.5689,39.9171,32
430,0,116.329,39.8936,32
431,0,117.0756,36.2006,32
432,0,122.4431,37.1644,32
433,0,116.4144,40.0197,32
434,0,116.4567,40.0082,32
435,0,116.3608,40.0115,32
436,0,116.667,39.8966,31
437,0,116.2033,39.9319,31
438,0,116.3027,39.9526,31
439,0,116.2995,39.8442,31
440,0,116.3666,39.9654,31
441,0,116.4792,39.9016,31
442,0,116.4147,39.9045,31
443,0,116.3148,40.0373,31
444,0,116.3745,39.9878,31
445,0,116.3003,39.8392,31
446,0,116.4681,39.9844,31
447,0,116.22,39.9337,31
448,0,116.4008,39.9685,31
449,0,116.3061,40.0089,31
450,0,116.4956,39.8908,31
451,0,116.3247,39.9728,31
452,0,116.4789,39.9334,31
453,0,116.3746,39.9053,31
454,0,116.499,39.9599,30
455,0,116.3068,40.1078,30
456,0,116.391,40.036,30
457,0,116.4037,40.0348,30
458,0,116.4836,39.843,30
459,0,116.4294,39.8997,30
460,0,116.3091,39.8756,30
461,0,116.302,39.8882,30
462,0,116.3428,39.8503,30
463,0,103.6551,31.0065,30
464,0,116.5875,40.0457,30
465,0,116.3034,39.9135,30
466,0,116.3752,39.8475,30
467,0,116.3246,39.9639,30
468,0,103.8948,30.8306,30
469,0,116.4931,39.9047,30
470,0,116.4977,39.9573,30
471,0,116.3497,39.8497,30
472,0,116.4682,40.0153,30
473,0,120.4606,41.5833,30
474,0,116.3252,39.9525,30
475,0,116.5221,39.926,30
476,0,130.2722,47.3299,29
477,0,116.5272,39.9219,29
478,0,116.2165,39.844,29
479,0,116.3486,39.9773,29
480,0,116.3159,40.0332,29
481,0,116.3832,40.0085,29
482,0,116.4534,39.964,29
483,0,116.2901,39.9289,29
484,0,120.4437,41.5699,29
485,0,116.588,39.9336,29
486,0,116.3296,40.0321,29
487,0,116.2486,39.9146,29
488,0,116.4577,39.8885,29
489,0,116.3564,39.9065,29
490,0,116.4956,39.9664,29
491,0,116.3267,40.0769,29
492,0,116.367,40.0089,29
493,0,116.3586,39.8922,29
494,0,116.3126,40.1017,28
495,0,116.4869,39.9936,28
496,0,116.6012,40.0429,28
497,0,116.3219,39.9947,28
498,0,114.4888,38.0163,28
499,0,116.4518,39.9984,28
500,1,121.3969,31.2083,255
501,1,108.9547,34.2638,156
502,1,106.2815,38.4805,145
503,1,123.4569,41.8118,143
504,1,120.1927,35.9566,132
505,1,121.5596,31.2586,127
506,1,119.607,39.9631,127
507,1,113.0268,28.2005,125
508,1,117.7088,39.038,107
509,1,113.3121,23.1476,102
510,1,121.4978,31.1834,101
511,1,120.6515,28.0105,92
512,1,116.4351,39.9538,88
513,1,116.4661,39.9358,86
514,1,116.3835,39.9513,86
515,1,116.4713,39.9149,85
516,1,113.2414,23.1396,84
517,1,116.4219,39.9525,82
518,1,121.5491,29.8698,82
519,1,116.3619,39.9526,81
520,1,116.4566,39.955,81
521,1,114.4046,30.5035,81
522,1,116.3781,39.9805,80
523,1,116.4373,39.9151,78
524,1,116.434,39.9141,78
525,1,116.4203,39.9507,78
526,1,122.9905,41.1244,78
527,1,116.3648,39.9983,78
528,1,116.4553,39.968,75
529,1,116.357,39.9718,75
530,1,116.3562,39.9447,74
531,1,121.5551,38.8885,74
532,1,116.4538,39.9399,73
533,1,116.4352,39.9411,73
534,1,116.4992,39.9933,72
535,1,116.5879,40.0585,71
536,1,114.2547,30.566,71
537,1,113.2901,23.1565,70
538,1,116.4373,39.958,70
539,1,116.4682,39.9075,69
540,1,113.9969,22.5321,68
541,1,116.4222,39.9726,67
