,hour,longitude,latitude,value,,,,,,
533,2,116.4866,40.0031,24.6,,,,,,
534,2,116.3857,39.9136,39,,,,,,
535,2,116.3722,39.9998,11,,,,,,
536,2,116.6676,40.1673,18,,,,,,
537,2,116.3235,39.9567,9,,,,,,
538,2,116.3193,40.0831,8,,,,,,
539,2,116.2476,39.9846,9,,,,,,
540,2,116.3425,39.9587,10.5,,,,,,
541,2,116.2504,39.9541,6,,,,,,
542,2,116.2883,39.833,7,,,,,,
543,2,116.4224,39.9567,12,,,,,,
544,2,116.1167,39.9616,18,,,,,,
545,2,116.5634,39.9581,87,,,,,,
546,2,116.3107,40.0585,9,,,,,,
547,2,116.4843,39.9203,24.75,,,,,,
548,2,116.2596,39.9317,12,,,,,,
549,2,116.3155,39.8768,48,,,,,,
550,2,116.3694,39.9788,16,,,,,,
551,2,116.1485,39.7475,89,,,,,,
552,2,116.473,39.8764,34,,,,,,
553,2,116.4799,39.9293,31,,,,,,
554,2,116.3317,39.973,10,,,,,,
555,2,116.2862,39.846,75,,,,,,
556,2,116.2963,39.8259,12,,,,,,
557,2,116.5059,39.9219,46.2,,,,,,
558,2,116.2917,39.8143,11,,,,,,
559,2,116.3537,39.9296,7.5,,,,,,
560,2,116.8501,40.3788,43.5,,,,,,
561,2,116.6029,40.0854,24.56,,,,,,
562,2,116.4391,40.0591,73,,,,,,
563,2,116.3135,40.0476,8.25,,,,,,
564,2,116.4876,39.8931,22,,,,,,
565,2,116.3771,40.0157,21.5,,,,,,
566,2,116.4746,40.0107,46,,,,,,
567,2,116.356,39.9818,13,,,,,,
568,2,116.294,39.973,25.33,,,,,,
569,2,116.3303,39.902,8,,,,,,
570,2,116.3156,39.9413,9,,,,,,
571,2,116.595,40.0716,136,,,,,,
572,2,116.622,40.0615,52.06,,,,,,
573,2,116.5314,39.952,10,,,,,,
574,2,116.2824,39.9614,61,,,,,,
575,2,116.4928,39.9137,13,,,,,,
576,2,116.4247,39.9834,28,,,,,,
577,2,116.8864,40.389,34.67,,,,,,
578,2,116.3944,39.9444,8,,,,,,
579,2,116.8281,40.3739,6.5,,,,,,
580,2,116.4065,39.7994,52.5,,,,,,
581,2,116.6446,39.8789,12,,,,,,
582,2,116.39,39.8698,8,,,,,,
583,2,116.4075,40.002,5,,,,,,
584,2,116.4628,39.89,16,,,,,,
585,2,116.3195,39.9842,11.22,,,,,,
586,2,116.4343,39.9899,34.25,,,,,,
587,2,116.4532,39.8495,8,,,,,,
588,2,116.4224,40.0629,17,,,,,,
589,2,116.6643,39.8947,133,,,,,,
590,2,116.2936,39.8648,32,,,,,,
591,2,116.4063,39.949,23,,,,,,
592,2,116.3246,40.0227,39,,,,,,
593,2,116.2751,40.1377,22,,,,,,
594,2,116.4659,39.918,32.27,,,,,,
595,2,116.3023,39.943,13,,,,,,
596,2,116.4767,39.899,13,,,,,,
597,2,116.6676,39.9144,37,,,,,,
598,2,116.7085,39.8831,16,,,,,,
599,2,116.4826,39.9439,44,,,,,,
600,2,116.4069,39.8518,134,,,,,,
601,2,116.4973,39.9892,11.67,,,,,,
602,2,116.5089,39.9114,17,,,,,,
603,2,116.3617,40.0144,21.5,,,,,,
604,2,116.5686,39.7386,15,,,,,,
605,2,116.4227,39.9153,15,,,,,,
606,2,116.3075,40.023,9,,,,,,
607,2,116.3817,39.937,22,,,,,,
608,2,116.4054,40.0237,70,,,,,,
609,2,116.5251,39.9295,8,,,,,,
610,2,116.4557,39.9706,55,,,,,,
611,2,116.4546,39.9518,65.5,,,,,,
612,2,116.4579,39.8758,9,,,,,,
613,2,116.4265,39.9472,27.8,,,,,,
614,2,116.3662,39.9374,12,,,,,,
615,2,116.272,39.8615,8,,,,,,
616,2,116.3149,39.9651,9.5,,,,,,
617,2,116.3539,40.084,15,,,,,,
618,2,116.5148,39.963,131,,,,,,
619,2,116.478,39.9657,10,,,,,,
