,hour,longitude,latitude,value,,,,
136,0,116.2964,39.8249,4,,,,"{name: '136',value: [116.2964,39.8249,4]},"
137,0,116.4793,39.9546,46,,,,"{name: '137',value: [116.4793,39.9546,46]},"
138,0,116.416,40.142,5,,,,"{name: '138',value: [116.416,40.142,5]},"
139,0,116.4026,40.0055,4,,,,"{name: '139',value: [116.4026,40.0055,4]},"
140,0,116.6437,40.2706,30,,,,"{name: '140',value: [116.6437,40.2706,30]},"
141,0,116.6858,40.3426,8,,,,"{name: '141',value: [116.6858,40.3426,8]},"
142,0,116.3236,39.7641,13,,,,"{name: '142',value: [116.3236,39.7641,13]},"
143,0,116.324,39.9301,18,,,,"{name: '143',value: [116.324,39.9301,18]},"
144,0,116.4434,39.9138,222,,,,"{name: '144',value: [116.4434,39.9138,222]},"
145,0,116.4365,39.838,6,,,,"{name: '145',value: [116.4365,39.838,6]},"
146,0,116.4985,39.97,20,,,,"{name: '146',value: [116.4985,39.97,20]},"
147,0,116.3142,39.9192,10,,,,"{name: '147',value: [116.3142,39.9192,10]},"
148,0,116.581,40.0702,9,,,,"{name: '148',value: [116.581,40.0702,9]},"
149,0,116.4652,39.9591,216,,,,"{name: '149',value: [116.4652,39.9591,216]},"
150,0,116.6686,39.9717,5,,,,"{name: '150',value: [116.6686,39.9717,5]},"
151,0,116.3529,39.7919,6,,,,"{name: '151',value: [116.3529,39.7919,6]},"
152,0,116.4556,39.9793,10,,,,"{name: '152',value: [116.4556,39.9793,10]},"
153,0,116.7967,39.6738,10,,,,"{name: '153',value: [116.7967,39.6738,10]},"
154,0,116.2178,39.9531,4,,,,"{name: '154',value: [116.2178,39.9531,4]},"
155,0,116.2701,39.9268,13,,,,"{name: '155',value: [116.2701,39.9268,13]},"
156,0,116.4691,39.9061,234,,,,"{name: '156',value: [116.4691,39.9061,234]},"
157,0,116.4827,39.8375,6,,,,"{name: '157',value: [116.4827,39.8375,6]},"
158,0,116.2562,40.0146,12,,,,"{name: '158',value: [116.2562,40.0146,12]},"
159,0,116.333,39.8844,8,,,,"{name: '159',value: [116.333,39.8844,8]},"
160,0,116.5371,39.9687,6,,,,"{name: '160',value: [116.5371,39.9687,6]},"
161,0,116.4565,39.9198,89,,,,"{name: '161',value: [116.4565,39.9198,89]},"
162,0,116.4027,39.9396,397,,,,"{name: '162',value: [116.4027,39.9396,397]},"
163,0,116.3111,40.0007,45,,,,"{name: '163',value: [116.3111,40.0007,45]},"
164,0,116.3753,39.8021,9,,,,"{name: '164',value: [116.3753,39.8021,9]},"
165,0,116.3435,39.9134,12,,,,"{name: '165',value: [116.3435,39.9134,12]},"
166,0,116.3699,39.8975,6,,,,"{name: '166',value: [116.3699,39.8975,6]},"
167,0,116.458,39.8739,21,,,,"{name: '167',value: [116.458,39.8739,21]},"
168,0,116.4731,39.9889,41,,,,"{name: '168',value: [116.4731,39.9889,41]},"
169,0,116.386,39.8721,174,,,,"{name: '169',value: [116.386,39.8721,174]},"
170,0,116.5295,39.9269,20,,,,"{name: '170',value: [116.5295,39.9269,20]},"
171,0,116.6629,40.3535,14,,,,"{name: '171',value: [116.6629,40.3535,14]},"
172,0,116.2814,40.0505,12,,,,"{name: '172',value: [116.2814,40.0505,12]},"
173,0,116.3738,39.8452,17,,,,"{name: '173',value: [116.3738,39.8452,17]},"
174,0,116.3547,39.8792,10,,,,"{name: '174',value: [116.3547,39.8792,10]},"
175,0,116.2357,40.2183,9,,,,"{name: '175',value: [116.2357,40.2183,9]},"
176,0,116.5223,39.914,65,,,,"{name: '176',value: [116.5223,39.914,65]},"
177,0,116.4716,39.9202,525,,,,"{name: '177',value: [116.4716,39.9202,525]},"
178,0,116.3357,39.9449,14,,,,"{name: '178',value: [116.3357,39.9449,14]},"
179,0,116.4425,39.9771,77,,,,"{name: '179',value: [116.4425,39.9771,77]},"
180,0,117.0901,40.1035,6,,,,"{name: '180',value: [117.0901,40.1035,6]},"
181,0,116.3585,40.0218,29,,,,"{name: '181',value: [116.3585,40.0218,29]},"
182,0,116.2513,39.9353,4,,,,"{name: '182',value: [116.2513,39.9353,4]},"
183,0,116.212,39.9157,21,,,,"{name: '183',value: [116.212,39.9157,21]},"
184,0,116.3124,40.0752,49,,,,"{name: '184',value: [116.3124,40.0752,49]},"
185,0,116.3022,39.9797,6,,,,"{name: '185',value: [116.3022,39.9797,6]},"
186,0,116.4225,39.9569,33,,,,"{name: '186',value: [116.4225,39.9569,33]},"
187,0,116.512,39.9213,34,,,,"{name: '187',value: [116.512,39.9213,34]},"
188,0,116.6792,39.9026,5,,,,"{name: '188',value: [116.6792,39.9026,5]},"
189,0,116.5218,39.8317,6,,,,"{name: '189',value: [116.5218,39.8317,6]},"
190,0,116.4549,40.0008,10,,,,"{name: '190',value: [116.4549,40.0008,10]},"
191,0,116.3436,39.8905,16,,,,"{name: '191',value: [116.3436,39.8905,16]},"
192,0,116.5058,39.8082,13,,,,"{name: '192',value: [116.5058,39.8082,13]},"
193,0,116.4994,39.9261,12,,,,"{name: '193',value: [116.4994,39.9261,12]},"
194,0,116.1628,39.8235,6,,,,"{name: '194',value: [116.1628,39.8235,6]},"
195,0,116.5783,39.889,4,,,,"{name: '195',value: [116.5783,39.889,4]},"
196,0,116.3041,40.0593,13,,,,"{name: '196',value: [116.3041,40.0593,13]},"
197,0,116.3047,39.8428,6,,,,"{name: '197',value: [116.3047,39.8428,6]},"
198,0,116.2627,39.8967,9,,,,"{name: '198',value: [116.2627,39.8967,9]},"
199,0,116.2784,39.8262,12,,,,"{name: '199',value: [116.2784,39.8262,12]},"
200,0,117.1347,40.1594,14,,,,"{name: '200',value: [117.1347,40.1594,14]},"
201,0,116.4395,40.0795,14,,,,"{name: '201',value: [116.4395,40.0795,14]},"
202,0,116.5502,39.7777,6,,,,"{name: '202',value: [116.5502,39.7777,6]},"
203,0,116.1559,39.7376,5,,,,"{name: '203',value: [116.1559,39.7376,5]},"
204,0,116.4623,39.9468,14,,,,"{name: '204',value: [116.4623,39.9468,14]},"
205,0,116.3215,39.9854,249,,,,"{name: '205',value: [116.3215,39.9854,249]},"
206,0,116.7348,40.3429,5,,,,"{name: '206',value: [116.7348,40.3429,5]},"
207,0,116.3774,39.9056,144,,,,"{name: '207',value: [116.3774,39.9056,144]},"
208,0,116.4161,39.8698,6,,,,"{name: '208',value: [116.4161,39.8698,6]},"
209,0,116.3304,39.908,10,,,,"{name: '209',value: [116.3304,39.908,10]},"
210,0,116.6719,39.883,6,,,,"{name: '210',value: [116.6719,39.883,6]},"
211,0,116.6391,39.9211,26,,,,"{name: '211',value: [116.6391,39.9211,26]},"
212,0,116.4238,39.9378,77,,,,"{name: '212',value: [116.4238,39.9378,77]},"
213,0,116.6527,39.8874,29,,,,"{name: '213',value: [116.6527,39.8874,29]},"
214,0,116.3409,39.7696,14,,,,"{name: '214',value: [116.3409,39.7696,14]},"
215,0,116.5123,39.6251,10,,,,"{name: '215',value: [116.5123,39.6251,10]},"
216,0,116.4403,39.9656,8,,,,"{name: '216',value: [116.4403,39.9656,8]},"
217,0,116.4354,40.0542,14,,,,"{name: '217',value: [116.4354,40.0542,14]},"
218,0,116.323,39.9517,26,,,,"{name: '218',value: [116.323,39.9517,26]},"
219,0,116.3461,39.9987,52,,,,"{name: '219',value: [116.3461,39.9987,52]},"
220,0,116.4202,40.0497,16,,,,"{name: '220',value: [116.4202,40.0497,16]},"
221,0,116.6449,39.9124,54,,,,"{name: '221',value: [116.6449,39.9124,54]},"
222,0,116.4203,39.8464,9,,,,"{name: '222',value: [116.4203,39.8464,9]},"
223,0,116.6788,39.8936,10,,,,"{name: '223',value: [116.6788,39.8936,10]},"
224,0,116.4103,39.964,57,,,,"{name: '224',value: [116.4103,39.964,57]},"
225,0,116.6623,40.2932,4,,,,"{name: '225',value: [116.6623,40.2932,4]},"
226,0,116.3691,40.0742,14,,,,"{name: '226',value: [116.3691,40.0742,14]},"
227,0,116.4813,39.9436,34,,,,"{name: '227',value: [116.4813,39.9436,34]},"
228,0,116.3903,39.9394,320,,,,"{name: '228',value: [116.3903,39.9394,320]},"
229,0,116.5366,39.6392,5,,,,"{name: '229',value: [116.5366,39.6392,5]},"
230,0,116.4392,39.8619,18,,,,"{name: '230',value: [116.4392,39.8619,18]},"
231,0,116.376,39.866,5,,,,"{name: '231',value: [116.376,39.866,5]},"
232,0,116.6686,39.8723,18,,,,"{name: '232',value: [116.6686,39.8723,18]},"
233,0,116.2741,40.0408,18,,,,"{name: '233',value: [116.2741,40.0408,18]},"
234,0,116.8535,40.3704,4,,,,"{name: '234',value: [116.8535,40.3704,4]},"
235,0,116.2199,40.0417,5,,,,"{name: '235',value: [116.2199,40.0417,5]},"
236,0,116.5659,39.9442,5,,,,"{name: '236',value: [116.5659,39.9442,5]},"
237,0,116.3897,40.0059,22,,,,"{name: '237',value: [116.3897,40.0059,22]},"
238,0,116.3105,39.9511,21,,,,"{name: '238',value: [116.3105,39.9511,21]},"
239,0,116.3622,39.948,34,,,,"{name: '239',value: [116.3622,39.948,34]},"
240,0,116.3988,39.8679,16,,,,"{name: '240',value: [116.3988,39.8679,16]},"
241,0,116.2846,40.0087,16,,,,"{name: '241',value: [116.2846,40.0087,16]},"
242,0,116.4349,39.9503,5,,,,"{name: '242',value: [116.4349,39.9503,5]},"
243,0,116.4995,39.7668,14,,,,"{name: '243',value: [116.4995,39.7668,14]},"
244,0,116.2958,39.8128,5,,,,"{name: '244',value: [116.2958,39.8128,5]},"
245,0,116.2709,39.9164,4,,,,"{name: '245',value: [116.2709,39.9164,4]},"
246,0,116.3501,39.8028,33,,,,"{name: '246',value: [116.3501,39.8028,33]},"
247,0,116.4931,39.9046,69,,,,"{name: '247',value: [116.4931,39.9046,69]},"
248,0,116.2683,40.0149,18,,,,"{name: '248',value: [116.2683,40.0149,18]},"
249,0,116.6063,39.9209,4,,,,"{name: '249',value: [116.6063,39.9209,4]},"
250,0,116.4453,40.0447,4,,,,"{name: '250',value: [116.4453,40.0447,4]},"
251,0,116.864,40.3983,21,,,,"{name: '251',value: [116.864,40.3983,21]},"
252,0,116.2755,40.0269,10,,,,"{name: '252',value: [116.2755,40.0269,10]},"
253,0,116.6919,39.9018,30,,,,"{name: '253',value: [116.6919,39.9018,30]},"
254,0,116.4405,39.9286,274,,,,"{name: '254',value: [116.4405,39.9286,274]},"
255,0,116.3544,39.7661,13,,,,"{name: '255',value: [116.3544,39.7661,13]},"
256,0,116.3324,39.7792,6,,,,"{name: '256',value: [116.3324,39.7792,6]},"
257,0,116.6606,40.0072,20,,,,"{name: '257',value: [116.6606,40.0072,20]},"
258,0,116.3214,39.8869,20,,,,"{name: '258',value: [116.3214,39.8869,20]},"
259,0,116.3201,40.0427,40,,,,"{name: '259',value: [116.3201,40.0427,40]},"
260,0,116.3134,39.9764,29,,,,"{name: '260',value: [116.3134,39.9764,29]},"
261,0,116.4624,39.8164,6,,,,"{name: '261',value: [116.4624,39.8164,6]},"
262,0,116.5635,39.9533,8,,,,"{name: '262',value: [116.5635,39.9533,8]},"
263,0,116.5981,39.8382,14,,,,"{name: '263',value: [116.5981,39.8382,14]},"
264,0,116.4746,40.008,169,,,,"{name: '264',value: [116.4746,40.008,169]},"
265,0,116.4163,39.9306,4,,,,"{name: '265',value: [116.4163,39.9306,4]},"
266,0,116.3445,39.9682,10,,,,"{name: '266',value: [116.3445,39.9682,10]},"
267,0,116.3886,39.983,34,,,,"{name: '267',value: [116.3886,39.983,34]},"
268,0,116.4092,39.998,30,,,,"{name: '268',value: [116.4092,39.998,30]},"
269,0,116.3596,39.9048,8,,,,"{name: '269',value: [116.3596,39.9048,8]},"
270,0,116.1771,39.9461,10,,,,"{name: '270',value: [116.1771,39.9461,10]},"
271,0,116.2598,40.0491,4,,,,"{name: '271',value: [116.2598,40.0491,4]},"
272,0,116.8557,40.3898,10,,,,"{name: '272',value: [116.8557,40.3898,10]},"
273,0,116.3825,39.9155,117,,,,"{name: '273',value: [116.3825,39.9155,117]},"
274,0,116.484,39.9128,44,,,,"{name: '274',value: [116.484,39.9128,44]},"
275,0,116.5008,40.0455,6,,,,"{name: '275',value: [116.5008,40.0455,6]},"
276,0,116.3594,39.9143,125,,,,"{name: '276',value: [116.3594,39.9143,125]},"
277,0,115.5764,40.0313,9,,,,"{name: '277',value: [115.5764,40.0313,9]},"
278,0,116.3421,39.9024,5,,,,"{name: '278',value: [116.3421,39.9024,5]},"
279,0,116.5557,39.9184,4,,,,"{name: '279',value: [116.5557,39.9184,4]},"
280,0,116.3402,39.934,4,,,,"{name: '280',value: [116.3402,39.934,4]},"
281,0,116.4704,39.9763,10,,,,"{name: '281',value: [116.4704,39.9763,10]},"
282,0,116.6718,40.1901,9,,,,"{name: '282',value: [116.6718,40.1901,9]},"
283,0,116.5436,39.9362,5,,,,"{name: '283',value: [116.5436,39.9362,5]},"
284,0,116.6578,40.1419,32,,,,"{name: '284',value: [116.6578,40.1419,32]},"
285,0,116.6493,40.3506,14,,,,"{name: '285',value: [116.6493,40.3506,14]},"
286,0,116.3366,40.0595,10,,,,"{name: '286',value: [116.3366,40.0595,10]},"
287,0,116.662,40.329,17,,,,"{name: '287',value: [116.662,40.329,17]},"
288,0,116.6347,40.3134,4,,,,"{name: '288',value: [116.6347,40.3134,4]},"
289,0,116.3756,39.9997,6,,,,"{name: '289',value: [116.3756,39.9997,6]},"
290,0,116.2985,40.1183,4,,,,"{name: '290',value: [116.2985,40.1183,4]},"
291,0,116.5083,39.9322,4,,,,"{name: '291',value: [116.5083,39.9322,4]},"
292,0,116.6077,39.893,8,,,,"{name: '292',value: [116.6077,39.893,8]},"
293,0,116.3575,40.006,21,,,,"{name: '293',value: [116.3575,40.006,21]},"
294,0,116.6362,40.3393,30,,,,"{name: '294',value: [116.6362,40.3393,30]},"
295,0,116.4233,39.947,625,,,,"{name: '295',value: [116.4233,39.947,625]},"
296,0,116.3607,40.2076,5,,,,"{name: '296',value: [116.3607,40.2076,5]},"
297,0,116.833,40.385,66,,,,"{name: '297',value: [116.833,40.385,66]},"
298,0,116.3032,40.0381,21,,,,"{name: '298',value: [116.3032,40.0381,21]},"
299,0,116.3528,39.955,6,,,,"{name: '299',value: [116.3528,39.955,6]},"
300,0,116.4689,39.8695,17,,,,"{name: '300',value: [116.4689,39.8695,17]},"
301,0,116.7088,39.9246,12,,,,"{name: '301',value: [116.7088,39.9246,12]},"
302,0,116.3956,39.8457,21,,,,"{name: '302',value: [116.3956,39.8457,21]},"
303,0,116.6644,40.0956,6,,,,"{name: '303',value: [116.6644,40.0956,6]},"
304,0,116.8654,40.3792,58,,,,"{name: '304',value: [116.8654,40.3792,58]},"
305,0,116.446,39.9557,100,,,,"{name: '305',value: [116.446,39.9557,100]},"
306,0,116.2872,39.9175,17,,,,"{name: '306',value: [116.2872,39.9175,17]},"
307,0,116.624,40.0721,36,,,,"{name: '307',value: [116.624,40.0721,36]},"
308,0,116.4817,39.8985,29,,,,"{name: '308',value: [116.4817,39.8985,29]},"
309,0,116.496,39.8926,16,,,,"{name: '309',value: [116.496,39.8926,16]},"
310,0,116.4043,39.9065,33,,,,"{name: '310',value: [116.4043,39.9065,33]},"
311,0,116.3514,40.0657,45,,,,"{name: '311',value: [116.3514,40.0657,45]},"
